Country_Name,Year,life_expectancy,CO2,exports_percentGDP,imports_percentGDP,inflation_GDP_deflator,population_growth,total_population,gdp_growth,GDP
Australia,2011,81.895122,17.26811,21.436417,20.470316,6.25276,1.389527,22340024,2.462756,1.40E+12
Australia,2012,82.046341,16.969257,21.480828,21.729518,1.856527,1.74582,22733465,3.918163,1.55E+12
Australia,2013,82.14878,16.398646,19.956168,21.252263,-0.124199,1.721151,23128129,2.584898,1.58E+12
Australia,2014,82.3,15.755876,21.039455,21.467035,1.479573,1.491566,23475686,2.533115,1.47E+12
Australia,2015,82.4,15.786449,19.984846,21.509528,-0.549659,1.439217,23815995,2.192647,1.35E+12
Australia,2016,82.44878,15.87208,19.251057,21.526584,-0.533,1.56194,24190907,2.770652,1.21E+12
Australia,2017,82.5,15.738647,21.205751,20.61297,3.73475,1.684523,24601860,2.300611,1.33E+12
Australia,2018,82.74878,15.475516,21.821905,21.440743,1.885616,1.536106,24982688,2.949286,1.43E+12
Australia,2019,82.9,8.429594,24.110965,21.599494,3.398104,1.521654,25365745,2.160956,1.40E+12
Australia,2020,82.376423,8.429594,23.915227,20.062626,1.968037,1.258698,25687041,-0.284839,1.33E+12
Brazil,2012,74.209,2.266878,11.87756,13.236735,7.943179,0.893526,199287292,1.92115,2.47E+12
Brazil,2013,74.483,2.40186,11.742231,14.043745,7.50454,0.873606,201035904,3.004846,2.47E+12
Brazil,2014,74.745,2.499362,11.011943,13.673463,7.84671,0.855796,202763744,0.503956,2.46E+12
Brazil,2015,74.994,2.347366,12.900191,14.053451,7.566175,0.838839,204471759,-3.545763,1.80E+12
Brazil,2016,75.23,2.143498,12.466679,12.067019,8.103604,0.823752,206163056,-3.275917,1.80E+12
Brazil,2017,75.456,2.164422,12.518968,11.800766,3.671385,0.807145,207833825,1.322869,2.06E+12
Brazil,2018,75.672,2.041874,14.634999,14.241204,4.493534,0.783844,209469320,1.783667,1.92E+12
Brazil,2019,75.881,8.429594,14.105362,14.350575,4.280505,0.751551,211049519,1.411153,1.88E+12
